NODES:  2 |  MegaHeightsPerSecond:   0.001010 |  Time:   0.003960   | FullVolume:   0.000000 
NODES:  4 |  MegaHeightsPerSecond:   0.003772 |  Time:   0.004242   | FullVolume:   6.847348 
NODES:  6 |  MegaHeightsPerSecond:   0.005855 |  Time:   0.006149   | FullVolume:   7.442326 
NODES:  8 |  MegaHeightsPerSecond:   0.014478 |  Time:   0.004420   | FullVolume:   7.597317 
NODES:  32 |  MegaHeightsPerSecond:   0.200347 |  Time:   0.005111   | FullVolume:   7.747049 
NODES:  64 |  MegaHeightsPerSecond:   0.921189 |  Time:   0.004446   | FullVolume:   7.756261 
NODES:  256 |  MegaHeightsPerSecond:   10.771019 |  Time:   0.006084   | FullVolume:   7.757641 
NODES:  1024 |  MegaHeightsPerSecond:   33.306989 |  Time:   0.031482   | FullVolume:   7.757882 
NODES:  2048 |  MegaHeightsPerSecond:   39.529757 |  Time:   0.106105   | FullVolume:   7.758076 
NODES:  2 |  MegaHeightsPerSecond:   0.000970 |  Time:   0.004122   | FullVolume:   0.000000 
NODES:  4 |  MegaHeightsPerSecond:   0.004160 |  Time:   0.003846   | FullVolume:   6.847348 
NODES:  6 |  MegaHeightsPerSecond:   0.008541 |  Time:   0.004215   | FullVolume:   7.442326 
NODES:  8 |  MegaHeightsPerSecond:   0.015905 |  Time:   0.004024   | FullVolume:   7.597317 
NODES:  32 |  MegaHeightsPerSecond:   0.267028 |  Time:   0.003835   | FullVolume:   7.747049 
NODES:  64 |  MegaHeightsPerSecond:   0.505453 |  Time:   0.008104   | FullVolume:   7.756262 
NODES:  256 |  MegaHeightsPerSecond:   5.287184 |  Time:   0.012395   | FullVolume:   7.757641 
NODES:  1024 |  MegaHeightsPerSecond:   21.066437 |  Time:   0.049775   | FullVolume:   7.757883 
NODES:  2048 |  MegaHeightsPerSecond:   36.998699 |  Time:   0.113364   | FullVolume:   7.758077 
NODES:  2 |  MegaHeightsPerSecond:   0.000665 |  Time:   0.006014   | FullVolume:   0.000000 
NODES:  4 |  MegaHeightsPerSecond:   0.002008 |  Time:   0.007969   | FullVolume:   6.847348 
NODES:  6 |  MegaHeightsPerSecond:   0.004883 |  Time:   0.007373   | FullVolume:   7.442326 
NODES:  8 |  MegaHeightsPerSecond:   0.008641 |  Time:   0.007407   | FullVolume:   7.597317 
NODES:  32 |  MegaHeightsPerSecond:   0.127779 |  Time:   0.008014   | FullVolume:   7.747049 
NODES:  64 |  MegaHeightsPerSecond:   0.935294 |  Time:   0.004379   | FullVolume:   7.756262 
NODES:  256 |  MegaHeightsPerSecond:   9.002550 |  Time:   0.007280   | FullVolume:   7.757641 
NODES:  1024 |  MegaHeightsPerSecond:   25.232363 |  Time:   0.041557   | FullVolume:   7.757882 
NODES:  2048 |  MegaHeightsPerSecond:   35.876871 |  Time:   0.116908   | FullVolume:   7.758077 
NODES:  2 |  MegaHeightsPerSecond:   0.000634 |  Time:   0.006308   | FullVolume:   0.000000 
NODES:  4 |  MegaHeightsPerSecond:   0.002996 |  Time:   0.005340   | FullVolume:   6.847348 
NODES:  6 |  MegaHeightsPerSecond:   0.006443 |  Time:   0.005588   | FullVolume:   7.442327 
NODES:  8 |  MegaHeightsPerSecond:   0.012305 |  Time:   0.005201   | FullVolume:   7.597317 
NODES:  32 |  MegaHeightsPerSecond:   0.166698 |  Time:   0.006143   | FullVolume:   7.747050 
NODES:  64 |  MegaHeightsPerSecond:   0.666384 |  Time:   0.006147   | FullVolume:   7.756262 
NODES:  256 |  MegaHeightsPerSecond:   8.164883 |  Time:   0.008027   | FullVolume:   7.757641 
NODES:  1024 |  MegaHeightsPerSecond:   28.519726 |  Time:   0.036767   | FullVolume:   7.757883 
NODES:  2048 |  MegaHeightsPerSecond:   24.362347 |  Time:   0.172163   | FullVolume:   7.758076 
NODES:  2 |  MegaHeightsPerSecond:   0.000692 |  Time:   0.005780   | FullVolume:   0.000000 
NODES:  4 |  MegaHeightsPerSecond:   0.002060 |  Time:   0.007766   | FullVolume:   6.847347 
NODES:  6 |  MegaHeightsPerSecond:   0.005100 |  Time:   0.007059   | FullVolume:   7.442326 
NODES:  8 |  MegaHeightsPerSecond:   0.012899 |  Time:   0.004962   | FullVolume:   7.597317 
NODES:  32 |  MegaHeightsPerSecond:   0.115139 |  Time:   0.008894   | FullVolume:   7.747049 
NODES:  64 |  MegaHeightsPerSecond:   0.545322 |  Time:   0.007511   | FullVolume:   7.756262 
NODES:  256 |  MegaHeightsPerSecond:   6.047216 |  Time:   0.010837   | FullVolume:   7.757641 
NODES:  1024 |  MegaHeightsPerSecond:   28.873317 |  Time:   0.036316   | FullVolume:   7.757883 
NODES:  2048 |  MegaHeightsPerSecond:   29.864012 |  Time:   0.140447   | FullVolume:   7.758077 
